le_gender,le_color1,le_color2,le_breed1,le_breed2,le_intake_type,le_intake_condition,le_intake_sex,le_outcome_type,le_outcome_sex,le_outcome_d_m,le_intake_d_m,Outcome_Age_Month,Duration_Day
1,35,36,217,78,2,3,1,3,1,7,7,155,0.06944444444444445
0,3,36,217,120,3,5,2,5,2,0,0,132,1.1333333333333333
0,12,1,296,78,3,0,2,5,2,7,7,171,1.5493055555555555
1,26,1,182,106,1,5,1,3,1,8,8,148,9.265972222222222
0,12,7,99,106,3,5,2,5,2,11,11,180,0.8076388888888889
0,2,30,65,106,3,5,2,5,2,7,7,141,1.0361111111111112
0,2,30,65,106,3,5,2,5,2,8,8,142,2.910416666666667
1,34,36,218,106,0,0,1,3,1,9,9,173,0.2222222222222222
1,2,33,65,106,1,5,1,0,1,5,4,193,27.95486111111111
1,2,33,65,106,3,5,1,5,1,7,7,159,0.0798611111111111
1,2,33,217,11,1,5,1,0,1,5,3,158,90.37847222222223
0,12,1,174,106,1,5,2,0,2,5,4,134,26.984722222222217
0,12,33,218,106,3,5,2,5,2,6,6,135,0.4326388888888889
0,6,36,59,106,3,3,2,5,2,4,4,145,0.7131944444444445
1,32,36,217,78,1,5,1,0,1,0,2,120,58.038194444444436
0,19,33,238,48,3,5,2,5,2,9,9,186,0.0625
0,26,36,125,106,3,0,2,5,2,8,8,165,2.274305555555556
0,26,30,218,106,3,5,2,5,2,7,7,169,2.95
1,2,10,99,106,1,5,1,0,1,11,10,168,38.85
0,32,36,218,106,3,5,2,5,2,2,2,129,3.049305555555556
0,32,36,218,106,3,5,2,5,2,2,2,129,0.4875
0,2,33,107,106,2,5,2,0,2,10,10,120,6.9541666666666675
0,33,36,49,166,0,9,2,3,2,10,10,138,0.02291666666666666
0,2,26,106,166,3,5,2,5,2,5,5,166,0.057638888888888885
0,2,26,106,166,3,5,2,5,2,9,9,158,0.2423611111111111
0,12,1,217,51,3,5,2,0,2,9,9,143,5.331944444444446
1,2,36,218,106,1,5,1,0,1,10,10,160,2.3118055555555554
