Animal ID,Found Street,Found City,Found State,Zip_code,Latitude,Longitude,At AAC,Intake Date,Breed(unconfirmed),Color_x,Found_Sex,Gender_x,Age,Image Link
A808115,Brandt Road And Brents Elm,Austin ,TX,78747,30.121226, -97.734411,Yes (come to the shelter),11/04/2019,Chihuahua Shorthair,Black/Brown,Intact,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808115
A808172,Red River And Cesar Chavez,Austin ,TX,78734,30.404815, -97.925919,Yes (come to the shelter),11/05/2019,Mastiff/Black Mouth Cur,Tan/Black,Intact,Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808172
A808121,1006 Pegotty Pl,Austin ,TX,78752,30.327057, -97.691583,Yes (come to the shelter),11/04/2019,Australian Cattle Dog,White/Red,Intact,Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808121
A808122,Manchaca Road And Ben White Boulevard,Austin ,TX,78752,30.327057, -97.691583,Yes (come to the shelter),11/04/2019,Chihuahua Longhair/Australian Cattle Dog,White/Red,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808122
A807768,Hidden Oaks Loop,Bastrop ,TX,78748,,,Yes (come to the shelter),11/02/2019,Great Pyrenees,White,Neutered,Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807768
A808134,none,Austin ,TX,78724,30.292023, -97.644186,Yes (come to the shelter),11/04/2019,Border Collie Mix,Black/White,Intact,Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808134
A808067,East Oltorf Street And East Side Drive,Austin ,TX,78727,30.423656, -97.693984,Yes (come to the shelter),11/03/2019,Yorkshire Terrier/Miniature Poodle,Black/Tan,Intact,Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808067
A808135,18303 River Timber Drive,Travis ,TX,78724,30.292023, -97.644186,Yes (come to the shelter),11/04/2019,Border Collie,Black/White,Intact,Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808135
A808063,East Howards Lane,Manor ,TX,78752,30.32784, -97.694498,Yes (come to the shelter),11/03/2019,Chihuahua Shorthair,Brown/Tan,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808063
A808123,9418 Hunters Trace,Austin ,TX,78757,30.355253, -97.725085,Yes (come to the shelter),11/04/2019,Australian Cattle Dog,Tricolor,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808123
A808058,6500 Tracor Lane,Austin ,TX,78721,30.269193, -97.681588,No (contact for more info),11/03/2019,Chihuahua Shorthair,Tricolor,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808058
A808125,18121 Busby Drive,Manor ,TX,78728,30.457693, -97.687798,Yes (come to the shelter),11/04/2019,Pit Bull,Brown/White,Neutered,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808125
A808060,73 San Marcos Street,Austin ,TX,78753,,,Yes (come to the shelter),11/03/2019,Australian Cattle Dog Mix,Tricolor,Intact,Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808060
A808175,715 West Slaughter Lane,Austin ,TX,78744,30.159122, -97.7156,Yes (come to the shelter),11/05/2019,Standard Schnauzer,Black/White,Intact,Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808175
A808177,Elm Grove Road And Williamson Road,Travis ,TX,78745,30.23124, -97.795476,Yes (come to the shelter),11/05/2019,Dachshund Mix,Red,Intact,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808177
A808178,4715 Green Ridge,Austin ,TX,78724,,,Yes (come to the shelter),11/05/2019,Blue Lacy Mix,Blue/White,Intact,Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808178
A807894,Fm969 & Delta Post,Travis ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact,Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807894
A807895,none,Manor ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact,Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807895
A807896,5201 Berkman,Austin ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact,Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807896
A808174,none,Austin ,TX,78744,30.188056, -97.764473,Yes (come to the shelter),11/05/2019,Dachshund,Brown/Black,Spayed,Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808174
A808170,2803 Sweeney Lane,Austin ,TX,78719,30.143087, -97.673385,Yes (come to the shelter),11/05/2019,Dachshund Mix,Fawn/White,Intact,Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808170
A808179,none,Austin ,TX,78701,,,Yes (come to the shelter),11/05/2019,Labrador Retriever,Cream,Intact,Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808179
