Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A808096,"2200 SOUTH FIRST STREET
AUSTIN 78704
(30.244491, -97.757695)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Orange Tabby/White,Neutered Male,11 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808096
A808095,"5900 E BEN WHITE BLVD
AUSTIN 78741
(30.213605, -97.718869)",Yes (come to the shelter),11/04/2019,Dog,Pit Bull,Brown/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808095
A804542,"930 E RUNDBERG LN
AUSTIN 78753
(30.356584, -97.685161)",Yes (come to the shelter),11/05/2019,Dog,German Shepherd,Tan,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804542
A808086,"940 EAST 55TH STREET
AUSTIN 78751
(30.314718, -97.70929)",No (contact for more info),11/03/2019,Dog,American Bulldog Mix,White/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808086
A808085,"12829 WHITE HOUSE STREET MANOR78653
(30.351951, -97.520223)",No (contact for more info),11/03/2019,Dog,Chihuahua Shorthair,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808085
A808087,"183 AND LAZY LANE
AUSTIN 78757",No (contact for more info),11/03/2019,Dog,Chihuahua Shorthair/Dachshund,White/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808087
A808100,"2407 CANTERBURY DR
AUSTIN 78702",Yes (come to the shelter),11/04/2019,Dog,Miniature Pinscher Mix,Blue/Tan,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808100
A808208,"5119 EAST 7TH STREET
AUSTIN 78702
(30.252499, -97.696437)",Yes (come to the shelter),11/05/2019,Dog,Miniature Schnauzer/Labrador Retriever,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808208
A808206,"1626 AUSTIN78652
(29.691823, -97.680293)",Yes (come to the shelter),11/05/2019,Dog,Labrador Retriever Mix,Black/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808206
A808098,"9704 CHUKAR CIRCLE
AUSTIN 78758
(30.374156, -97.709652)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808098
A808103,"12700 HILL COUNTRY BOULEVARD
BEE CAVE 78738
(30.307712, -97.934779)",Yes (come to the shelter),11/04/2019,Dog,German Wirehaired Pointer,Tricolor,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808103
A808099,"6226 MIDDLE FISKVILLE ROAD
AUSTIN 78752
(30.324338, -97.709631)",Yes (come to the shelter),11/04/2019,Dog,Siberian Husky,Black/Gray,Spayed Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808099
A808209,"EAST SPRINGDALE ROAD
AUSTIN 78721",No (contact for more info),11/05/2019,Dog,Pit Bull,Tricolor,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808209
A802050,"EAST TWELTH STREET
AUSTIN 78723",No (contact for more info),11/05/2019,Dog,Staffordshire Mix,White/Brown,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A802050
A619261,"EMERALD WOOD DR AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),11/05/2019,Dog,Pit Bull Mix,Fawn/White,Neutered Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A619261
A808101,"1601 EAST SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",No (contact for more info),11/04/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808101
A808102,"1601 EAST SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",No (contact for more info),11/04/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808102
A808049,2222 AUSTIN78726,Yes (come to the shelter),11/03/2019,Dog,Pit Bull/Australian Cattle Dog,Black/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808049
A808042,"3320 FM
AUSTIN 78617",Yes (come to the shelter),11/03/2019,Cat,Ragdoll Mix,Lilac Point,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808042
A808113,35 AUSTIN78752,Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,White/Black,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808113
A808105,"9500 IH
SOUTH AUSTIN 78748",Yes (come to the shelter),11/04/2019,Dog,Australian Cattle Dog Mix,Brown/Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808105
A808106,"7312 COIT ROAD
AUSTIN 78744
(30.159122, -97.7156)",No (contact for more info),11/04/2019,Dog,Labrador Retriever/Scottish Terrier,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808106
A808117,"LEVANDER
AUSTIN 78702",No (contact for more info),11/04/2019,Dog,Australian Cattle Dog Mix,Tricolor,Unknown,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808117
A808104,ROSS ROAD78617,No (contact for more info),11/04/2019,Dog,Pembroke Welsh Corgi Mix,Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808104
A793977,"5400 NORTH LAMAR BOULEVARD
AUSTIN 78751
(30.321902, -97.728874)",Yes (come to the shelter),11/05/2019,Dog,Australian Kelpie Mix,Brown/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A793977
A808111,"13021 DESSAU ROAD
AUSTIN 78754
(30.399451, -97.641014)",No (contact for more info),11/04/2019,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808111
A808120,"801 GARNER AVENUE
AUSTIN 78704
(30.260033, -97.765637)",No (contact for more info),11/04/2019,Dog,Siberian Husky Mix,Gray/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808120
A808048,"6115 FELIX AVENUE
AUSTIN 78741
(30.236169, -97.698599)",Yes (come to the shelter),11/03/2019,Dog,Pit Bull,Blue/White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808048
A808050,"12800 HARRISGLEN DR
AUSTIN 78753
(30.400032, -97.652722)",No (contact for more info),11/03/2019,Dog,Maltese Mix,White,Intact Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808050
A808044,"6408 MULESHOE BEND TRL78654
(30.506386, -98.076334)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Black/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808044
A808043,"5800 TECHNI CENTER DRIVE
AUSTIN 78721
(30.278441, -97.672073)",Yes (come to the shelter),11/03/2019,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808043
A808045,"5800 TECHNI CENTER DRIVE
AUSTIN 78721
(30.278441, -97.672073)",Yes (come to the shelter),11/03/2019,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808045
A808046,"5800 TECHNI CENTER DRIVE
AUSTIN 78721
(30.278441, -97.672073)",Yes (come to the shelter),11/03/2019,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808046
A808052,"8TH STREEY
AUSTIN 78702",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808052
A808055,"9801 CURLEW DRIVE
AUSTIN 78748
(30.178201, -97.833579)",Yes (come to the shelter),11/03/2019,Cat,Russian Blue,Blue,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808055
A808116,"LENWOOD COURT
AUSTIN 78738",Yes (come to the shelter),11/04/2019,Cat,Siamese Mix,Blue Point,Spayed Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808116
A808053,"3104 ROBINSON AVENUE
AUSTIN 78722
(30.288491, -97.72208)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Brown Tabby,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808053
A808114,"8023 COULVER ROAD
AUSTIN 78747
(30.121226, -97.734411)",Yes (come to the shelter),11/04/2019,Dog,Chihuahua Shorthair,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808114
A808173,"1909 EAST WILLIAM CANNON DRIVE
AUSTIN 78744
(30.188056, -97.764473)",Yes (come to the shelter),11/05/2019,Dog,Dachshund,Brown,Spayed Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808173
A808115,"8023 COULVER ROAD
AUSTIN 78747
(30.121226, -97.734411)",Yes (come to the shelter),11/04/2019,Dog,Chihuahua Shorthair,Black/Brown,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808115
A808172,"4500 WELETKA DRIVE
AUSTIN 78734
(30.404815, -97.925919)",Yes (come to the shelter),11/05/2019,Dog,Mastiff/Black Mouth Cur,Tan/Black,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808172
A808121,"7215 CAMERON ROAD
AUSTIN 78752
(30.327057, -97.691583)",Yes (come to the shelter),11/04/2019,Dog,Australian Cattle Dog,White/Red,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808121
A808122,"7215 CAMERON ROAD
AUSTIN 78752
(30.327057, -97.691583)",Yes (come to the shelter),11/04/2019,Dog,Chihuahua Longhair/Australian Cattle Dog,White/Red,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808122
A808056,"1601 EAST SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",No (contact for more info),11/03/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808056
A807768,"TEXAS OAKS
AUSTIN 78748",Yes (come to the shelter),11/02/2019,Dog,Great Pyrenees,White,Neutered Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807768
A808134,"6012 PERLITA DRIVE
AUSTIN 78724
(30.292023, -97.644186)",Yes (come to the shelter),11/04/2019,Dog,Border Collie Mix,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808134
A808067,"13005 BROUGHTON WAY
AUSTIN 78727
(30.423656, -97.693984)",Yes (come to the shelter),11/03/2019,Dog,Yorkshire Terrier/Miniature Poodle,Black/Tan,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808067
A808135,"6012 PERLITA DRIVE
AUSTIN 78724
(30.292023, -97.644186)",Yes (come to the shelter),11/04/2019,Dog,Border Collie,Black/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808135
A808062,"841 AIRPORT BOULEVARD
AUSTIN 78702
(30.257771, -97.693214)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair Mix,Cream Tabby,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808062
A808063,"7111 GRAND CANYON
AUSTIN 78752
(30.32784, -97.694498)",Yes (come to the shelter),11/03/2019,Dog,Chihuahua Shorthair,Brown/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808063
A808123,"8010 MULLEN DRIVE
AUSTIN 78757
(30.355253, -97.725085)",Yes (come to the shelter),11/04/2019,Dog,Australian Cattle Dog,Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808123
A808145,"10701 SOUTH IH
AUSTIN 78741",Yes (come to the shelter),11/04/2019,Cat,Domestic Medium Hair Mix,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808145
A808058,"1125 OMEGA
AUSTIN 78721
(30.269193, -97.681588)",No (contact for more info),11/03/2019,Dog,Chihuahua Shorthair,Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808058
A808125,"3711 SHORELINE DR78728
(30.457693, -97.687798)",Yes (come to the shelter),11/04/2019,Dog,Pit Bull,Brown/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808125
A808060,"NORTH RUTLAND DRIVE
AUSTIN 78753",Yes (come to the shelter),11/03/2019,Dog,Australian Cattle Dog Mix,Tricolor,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808060
A807780,"4013 KNOLLWOOD DRIVE
AUSTIN 78731
(30.355154, -97.768135)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Gray,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807780
A808057,"819 SUSSEX DRIVE
AUSTIN 78745
(30.206017, -97.763128)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Blue Cream,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808057
A808175,"7312 COIT ROAD
AUSTIN 78744
(30.159122, -97.7156)",Yes (come to the shelter),11/05/2019,Dog,Standard Schnauzer,Black/White,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808175
A808140,"5101 NESTING WAY
AUSTIN 78744
(30.184548, -97.746276)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Orange Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808140
A808141,"5101 NESTING WAY
AUSTIN 78744
(30.184548, -97.746276)",Yes (come to the shelter),11/04/2019,Cat,Domestic Longhair,Orange Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808141
A808142,"5101 NESTING WAY
AUSTIN 78744
(30.184548, -97.746276)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Orange Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808142
A808143,"5101 NESTING WAY
AUSTIN 78744
(30.184548, -97.746276)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808143
A808177,"4434 FRONTIER TRL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),11/05/2019,Dog,Dachshund Mix,Red,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808177
A808178,"14509 FM
AUSTIN 78724",Yes (come to the shelter),11/05/2019,Dog,Blue Lacy Mix,Blue/White,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808178
A808144,"5101 NESTING WAY
AUSTIN 78744
(30.184548, -97.746276)",Yes (come to the shelter),11/04/2019,Cat,Siamese Mix,Lynx Point,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808144
A807894,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807894
A807895,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807895
A807896,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Brown/Tricolor,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807896
A808003,"410 WEST ODELL
AUSTIN 78752
(30.337921, -97.712484)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808003
A808174,"1909 EAST WILLIAM CANNON DRIVE
AUSTIN 78744
(30.188056, -97.764473)",Yes (come to the shelter),11/05/2019,Dog,Dachshund,Brown/Black,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808174
A808170,"MAN O WAR AVENUE AUSTIN 78719
(30.143087, -97.673385)",Yes (come to the shelter),11/05/2019,Dog,Dachshund Mix,Fawn/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808170
A808179,"NORTH EAST PLEASANT VALLEY ROAD
AUSTIN 78701",Yes (come to the shelter),11/05/2019,Dog,Labrador Retriever,Cream,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808179
